ID,UserID,ItemTypeID,Title,Capacity,NumberOfBeds,NumberOfBedrooms,NumberOfBathrooms,ExactAddress,ApproximateAddress,Description,HostRules,MinimumNights,MaximumNights
2,2,1,Superior Cozy Home J,5,5,1,1,562-1 Punggok-ri  Gagok-myeon,Gagok-myeon,With 1 bedroom  this air-conditioned apartment features 1 bathroom with a bidet  a bath or shower and slippers. The apartment also features a well-equipped kitchen with a microwave  a fridge and a toaster  as well as a hairdryer.Seoul Station is 5.8 km from the apartment  while Dongwha Duty Free Shop is 6.6 km from the property. The nearest airport is Gimpo International Airport  13 km from Hongdae Residence-2 1min from Hongik Uni station Exit #1.Hongdae Residence-2 1min from Hongik Uni station Exit #1 has been welcoming Booking.com guests since Jun 21  2022,Pets are not allowed.,1,10000
3,4,5,Lee Jae,4,3,1,0,583 Jisan-ri  Habuk-myeon,Jisan-ri  Habuk-myeon,Comfortable as your home - JS1 in Seoul has accommodations with free WiFi  6.4 km from Hongik University  6.6 km from Ewha Women’s University and 8.5 km from Jogyesa Temple. Located 5.6 km from Hongik University Station  the property provides a garden and free private parking.,Smoking is not allowed.,1,10000
4,3,1,Lee Jae 2,3,3,1,0,126-3 Gaeksa-ri  Paengseong-eup,Gaeksa-ri  Paengseong-eup,Located in Seoul  2.9 km from Ewha Women’s University and 3.1 km from Seoul Station  Sweet House #2 provides accommodations with amenities such as free WiFi and a flat-screen TV. The property has city views and is 3.4 km from Hongik University and 3.4 km from Hongik University Station.The air-conditioned apartment is composed of 1 separate bedroom  a living room  a fully equipped kitchen with a microwave and fridge  and 1 bathroom.,There's no age requirement for check-in   No cribs or extra beds are available.  Children of all ages are welcome  Children 4 and above are considered adults at this property.Pets are not allowed.,1,10000
5,2,3,Hongdae Min House 2,5,5,3,1,123 Nogok-ri  Yangseong-myeon (2134-36 Anseongmatchum-daero),Yangseong-myeon ,In the Mapo-gu district of Seoul  close to Hongik University Station  Hongdae Residence 3 - 1min from Hongik Uni station Exit #1 features free WiFi and a washing machine. The property has city views and is a 10-minute walk from Hongik University and 3.4 km from Ewha Women’s University.Including 1 bedroom  this air-conditioned apartment features 1 bathroom with a bidet  a bath or shower and slippers. There's a dining area and a kitchen complete with a microwave  a fridge and a toaster.,Pets are not allowed.,1,10000
7,3,2,Lovely House,5,5,2,0,198-10 Uijeongbu 1(il)-dong,Uijeongbu 1(il)-dong,Some of the units include satellite flat-screen TV  a fully equipped kitchen with a microwave  and a private bathroom with a shower and a hairdryer.,There's no age requirement for check-in   No cribs or extra beds are available.  Children of all ages are welcome  Children 4 and above are considered adults at this property.Pets are not allowed.,1,10000
8,6,3,HONGDAE HELEN'S HOUSE,6,6,3,2,200-9 Mui-ri  Bongpyeong-myeon,Mui-ri  Bongpyeong-myeon,Located in Seoul with Hongik University Station and Hongik University nearby  Laon House Yeonnam provides accommodations with free WiFi and free private parking.,Pets are not allowed  Smoking is not allowed.,1,10000
9,6,1,Residence Unicorn,7,7,2,2,1135-6 Ingye-dong,Ingye-dong,Ewha Women’s University is 3.5 km from the apartment  while Seoul Station is 5.6 km away. The nearest airport is Gimpo International Airport  13 km from Laon House Yeonnam.Laon House Yeonnam has been welcoming Booking.com guests since Apr 20  2022,Pets are not allowed.,1,10000
10,6,1,Eve Hongdae,2,1,1,0,228-87 Micheon-ri  Munui-myeon,Micheon-ri  Munui-myeon,Coopie House 2 (two Rooms+King+Queen+Sofa bed) has city views  free WiFi and free private parking  located in Seoul  3.1 km from Gasan Digital Complex.,Pets are not allowed.,1,10000
11,6,1,Samsung Coex Daechi Gangnam House G,2,1,1,1,900-13 Hwajeong-dong,Hwajeong-dong,All units here are air-conditioned and feature a flat-screen TV  a living room with a sofa  a well-equipped kitchen with a dining area  and a private bathroom with shower  slippers and a hairdryer. For added convenience  the property can provide towels and bed linen for an extra charge.,Pets are not allowed  Smoking is not allowed.,1,10000
12,3,3,White Linen House,4,2,1,1,669-23 Ganeung 1(il)-dong,Ganeung 1(il)-dong,Hello this is ponny from residence unicorn. I am korean:) I really love travelling in the world:) Also I really like meeting new people. During you stay in unicorn I can help you about your trip plan. Hope enjoy in travelling more :),Pets are not allowed.,1,10000
13,3,5,Gangnam 220SQM TOWERPALACE,4,2,1,1,3 Wonam-ri  Namsa-myeon,Wonam-ri  Namsa-myeon,Self check in We have self check -in system by messenger. Guest must email us and let us know arriving time after booking completed with guest’s arriving time. Then we will show you how to check in for themselves. wechat or line ID unicony The unicorn is suitable for family with kids or group. All studio have kitchen and equipment to cook   private bath room  waching machine too. Big market is walking 1min distance. Lots of korea restruat wait for you!!!!!! You can feel cozy & comfortable in unicorn. If you feel korean home style pls dont hesitate! Welcome to unicorn,Pets are not allowed.,1,10000
14,6,5,Gangnam super-luxury,3,2,1,1,106-3 Yangji-ri  Onam-eup,3 Yangji-ri  Onam-eup,1 min distrace Attractions. Emart(big supermarket*tax refund) Starbuks /Gs 25(conveince store)/Local restraunts/ Two bakery shops Choenggy cheon streeeam!!! There is bus to myoungdong 421,Pets are not allowed  Smoking is not allowed.,1,10000
15,2,1,Gangnam highest 44?+145sqm ????,5,3,1,1,251-10 Jugyo-dong,10 Jugyo-dong,Offering city views  Cheongdam Beautiful Apartment New Building Edition Full Option Long term Stay AvailableAPT 2? ?? Edition ??? ???? is a property located in Seoul  2.6 km from COEX Convention Centre and 4.7 km from Gangnam Station. The property is 2.3 km from Bongeunsa Temple  and guests benefit from complimentary WiFi and private parking available on site.,Pets are not allowed.,1,10000
17,3,2,Eden House,5,3,1,0,883-6 Dangye-dong (1 Ihwa 6-gil and 1 other),6 Dangye-dong (1 Ihwa 6-gil and 1 other),The Shilla Duty Free Shop Main Store is 6.6 km from the apartment  while Dongdaemun Market is 7.4 km away. The nearest airport is Gimpo International Airport  27.4 km from Cheongdam Beautiful Apartment New Building Edition Full Option Long term Stay AvailableAPT 2? ?? Edition ??? ????.,There's no age requirement for check-in   No cribs or extra beds are available.  Children of all ages are welcome  Children 4 and above are considered adults at this property.Pets are not allowed.,1,10000
18,3,5,Hongdae Residence,5,4,1,0,74 Sunae 3(sam)-dong,74 Sunae 3(sam)-dong,Cheongdam Beautiful Apartment New Building Edition Full Option Long term Stay AvailableAPT 2? ?? Edition ??? ???? has been welcoming Booking.com guests since Aug 31  2022,There's no age requirement for check-in   No cribs or extra beds are available.  Children of all ages are welcome  Children 4 and above are considered adults at this property.Pets are not allowed.,1,10000
